Ps.no,Na-47,Pti,Pmln,Ppp,Ji,Mnk,Tlp
121,"Hassan Zaib Shaheed Model School for Boys (I-X) Jagiot, Islamabad. (Female)",280,170,11,11,60,204
122,"Hassan Zaib Shaheed Model School for Boys (I-X) Jagiot, Islamabad. (Combined)",241,139,1,29,155,99
123,"Islamabad Model College for Girls, Jagiot, Islamabad. (Combined)",282,116,3,17,103,115
124,"Ahad Model School, Mohrian, Islamabad. (Male)",162,132,4,5,111,191
125,"Ahad Model School, Mohrian, Islamabad. (Female)",166,105,1,8,72,159
126,"Islamabad Model School for Girls (I-VIII) Mohrian, Islamabad. (Male)",198,211,5,18,147,186
127,"Islamabad Model School for Girls (I-VIII) Mohrian, Islamabad. (Female)",115,150,4,12,96,105
128,"Islamabad Model School for Girls (I-X) NHC, Islamabad. (Combined)",157,36,3,10,65,52
129,"Mile Stone Public School, Farash Town, Islamabad. (Male)",151,139,18,8,55,11
130,"Mile Stone Public School, Farash Town, Islamabad. (Female)",122,128,27,4,56,5
131,"Allama Iqbal College, Park Road, Tamma, Islamabad. (Combined)",478,213,15,3,4,16
132,"Allama Iqbal College, Park Road, Tamma, Islamabad. (Combined)",152,48,4,12,3,8
133,"Islamabad Model School for Girls (I-VIII) Alipur MV, Islamabad. (Male)",459,186,20,29,7,81
134,"Islamabad Model School for Girls (I-VIII) Alipur MV, Islamabad. (Female)",367,135,16,8,5,50
135,"Muslilm Group School And College Khadrapper, Islamabad (Combined)",18,4,0,1,0,0
136,"Union Councial Office Ali Pur, Islamabad. (Male)",185,260,15,5,9,255
137,"Khaula Shaheed Model College for Girls (VI-XII) Punjgran, Islamabad. (Combined)",226,206,15,12,12,134
138,"Allama Iqbal Public School, (Ibrahim Campus) Jabbi, Islamabad. (Combined)",323,176,34,22,8,76
139,"Prince Sulman College Sultana Foundation,Farash Town, Lehtrar Road, Islamabad. (",230,173,8,12,15,39
140,"Fatima Model School, Partal, Islamabad. (Male)",341,223,13,25,59,54
141,"Fatima Model School, Partal, Islamabad. (Female)",233,191,9,19,32,32
142,"Islamabad Model School for Girls (I-V) Punjgran, Islamabad. (Male)",367,135,111,9,19,52
143,"Islamabad Model School for Girls (I-V) Punjgran, Islamabad. (Female)",261,121,86,3,16,33
144,"Boys High School Sultana Foundation, Farash Town, Islamabad. (Male)",493,151,21,42,11,17
145,"Boys High School Sultana Foundation, Farash Town, Islamabad. (Female)",367,98,28,13,4,9
146,"Islamabad Model School for Girls (I-V) Alipur (Farash Town), Islamabad. (Male)",514,167,97,55,7,36
147,"Islamabad Model School for Girls (I-V) Alipur (Farash Town), Islamabad. (Female)",420,121,79,33,3,14
148,"Islamabad Model School for Boys (I-X) Herno Thanda Pani, Islamabad. (Male)",362,232,7,29,102,51
149,"Islamabad Model School for Boys (I-X) Herno Thanda Pani, Islamabad. (Female)",309,178,3,26,96,30
150,"Islamabad Model School for Girls (I-V) Herno Thanda Pani, Islamabad. (Male)",369,218,25,34,100,97
